"","RespondentID","Have you seen any of the 6 films in the Star Wars franchise?","Do you consider yourself to be a fan of the Star Wars film franchise?","Which of the following Star Wars films have you seen? Please select all that apply.","X5","X6","X7","X8","X9","Star Wars: Episode I  The Phantom Menace","Star Wars: Episode II  Attack of the Clones","Star Wars: Episode III  Revenge of the Sith","Star Wars: Episode IV  A New Hope","Star Wars: Episode V The Empire Strikes Back","Star Wars: Episode VI Return of the Jedi","Han Solo","Luke Skywalker","Princess Leia Organa","Anakin Skywalker","Obi Wan Kenobi","Emperor Palpatine","Darth Vader","Lando Calrissian","Boba Fett","C-3P0","R2 D2","Jar Jar Binks","Padme Amidala","Yoda","Which character shot first?","Are you familiar with the Expanded Universe?","Do you consider yourself to be a fan of the Expanded Universe?ξ","Do you consider yourself to be a fan of the Star Trek franchise?","Gender","Age","Household Income","Education","Location (Census Region)","seen_films"
"21",3292376985,"Yes","Yes","Star Wars: Episode I  The Phantom Menace","Star Wars: Episode II  Attack of the Clones","Star Wars: Episode III  Revenge of the Sith","Star Wars: Episode IV  A New Hope","Star Wars: Episode V The Empire Strikes Back","Star Wars: Episode VI Return of the Jedi","4","6","5","2","1","3","Very favorably","Very favorably","Very favorably","Very unfavorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Unfamiliar (N/A)","Very unfavorably","Very favorably","Han","Yes","Yes","Yes","Male","18-29","$150,000+","Some college or Associate degree","East North Central",6
"22",3292366792,"Yes","No","Star Wars: Episode I  The Phantom Menace","Star Wars: Episode II  Attack of the Clones","Star Wars: Episode III  Revenge of the Sith","Star Wars: Episode IV  A New Hope","Star Wars: Episode V The Empire Strikes Back","Star Wars: Episode VI Return of the Jedi","4","3","5","6","2","1","Neither favorably nor unfavorably (neutral)","Neither favorably nor unfavorably (neutral)","Neither favorably nor unfavorably (neutral)","Neither favorably nor unfavorably (neutral)","Somewhat favorably","Unfamiliar (N/A)","Somewhat favorably","Somewhat favorably","Somewhat favorably","Somewhat favorably","Somewhat favorably","Somewhat unfavorably","Unfamiliar (N/A)","Somewhat favorably","I don't understand this question","No",NA,"No","Male","30-44","$0 - $24,999","High school degree","New England",6
"23",3292339379,"Yes","Yes","Star Wars: Episode I  The Phantom Menace","Star Wars: Episode II  Attack of the Clones","Star Wars: Episode III  Revenge of the Sith","Star Wars: Episode IV  A New Hope","Star Wars: Episode V The Empire Strikes Back","Star Wars: Episode VI Return of the Jedi","6","5","4","2","1","3","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Very unfavorably","Very favorably","Very favorably","Han","Yes","Yes","Yes","Male","30-44","$50,000 - $99,999","Some college or Associate degree","West North Central",6
"24",3292330840,"Yes","No","Star Wars: Episode I  The Phantom Menace","Star Wars: Episode II  Attack of the Clones","Star Wars: Episode III  Revenge of the Sith","Star Wars: Episode IV  A New Hope","Star Wars: Episode V The Empire Strikes Back","Star Wars: Episode VI Return of the Jedi","6","1","2","3","4","5","Somewhat unfavorably","Somewhat unfavorably","Somewhat unfavorably","Somewhat unfavorably","Somewhat unfavorably","Somewhat unfavorably","Somewhat unfavorably","Somewhat unfavorably","Somewhat unfavorably","Somewhat unfavorably","Somewhat unfavorably","Somewhat unfavorably","Somewhat unfavorably","Somewhat unfavorably","Han","No",NA,"No","Male","18-29",NA,NA,"Middle Atlantic",6
"25",3292290677,"Yes","Yes","Star Wars: Episode I  The Phantom Menace","Star Wars: Episode II  Attack of the Clones","Star Wars: Episode III  Revenge of the Sith","Star Wars: Episode IV  A New Hope","Star Wars: Episode V The Empire Strikes Back","Star Wars: Episode VI Return of the Jedi","6","3","4","1","2","5","Very favorably","Very favorably","Very favorably","Very favorably","Very favorably","Somewhat favorably","Somewhat favorably","Neither favorably nor unfavorably (neutral)","Very favorably","Very favorably","Very favorably","Very unfavorably","Very favorably","Very favorably","Han","No",NA,"No","Male","30-44","$150,000+","Graduate degree","East North Central",6
"26",3292281095,"Yes","Yes","Star Wars: Episode I  The Phantom Menace","Star Wars: Episode II  Attack of the Clones","Star Wars: Episode III  Revenge of the Sith","Star Wars: Episode IV  A New Hope","Star Wars: Episode V The Empire Strikes Back","Star Wars: Episode VI Return of the Jedi","3","2","1","4","6","5","Somewhat favorably","Neither favorably nor unfavorably (neutral)","Neither favorably nor unfavorably (neutral)","Very favorably","Somewhat favorably","Neither favorably nor unfavorably (neutral)","Somewhat favorably","Neither favorably nor unfavorably (neutral)","Neither favorably nor unfavorably (neutral)","Neither favorably nor unfavorably (neutral)","Neither favorably nor unfavorably (neutral)","Neither favorably nor unfavorably (neutral)","Neither favorably nor unfavorably (neutral)","Neither favorably nor unfavorably (neutral)","Greedo","No",NA,"No","Male","18-29","$0 - $24,999","Bachelor degree","West North Central",6
"27",3292279889,"Yes","Yes","Star Wars: Episode I  The Phantom Menace","Star Wars: Episode II  Attack of the Clones","Star Wars: Episode III  Revenge of the Sith","Star Wars: Episode IV  A New Hope","Star Wars: Episode V The Empire Strikes Back","Star Wars: Episode VI Return of the Jedi","2","4","5","1","6","3","Very favorably","Somewhat favorably","Very favorably","Somewhat favorably","Very favorably","Somewhat unfavorably","Very unfavorably","Neither favorably nor unfavorably (neutral)","Somewhat unfavorably","Neither favorably nor unfavorably (neutral)","Somewhat favorably","Neither favorably nor unfavorably (neutral)","Somewhat favorably","Somewhat favorably","Han","No",NA,"No","Male","18-29",NA,"Some college or Associate degree","Pacific",6
"28",3292264069,"Yes","Yes","Star Wars: Episode I  The Phantom Menace","Star Wars: Episode II  Attack of the Clones","Star Wars: Episode III  Revenge of the Sith","Star Wars: Episode IV  A New Hope","Star Wars: Episode V The Empire Strikes Back","Star Wars: Episode VI Return of the Jedi","6","3","5","1","4","2","Somewhat favorably","Somewhat favorably","Somewhat favorably","Somewhat favorably","Somewhat favorably","Somewhat favorably","Somewhat favorably","Somewhat favorably","Somewhat favorably","Somewhat favorably","Somewhat favorably","Neither favorably nor unfavorably (neutral)","Somewhat favorably","Somewhat favorably","Han","Yes","No","Yes","Male","30-44","$50,000 - $99,999","Bachelor degree","Middle Atlantic",6
"29",3292257520,"Yes","Yes","Star Wars: Episode I  The Phantom Menace","Star Wars: Episode II  Attack of the Clones","Star Wars: Episode III  Revenge of the Sith","Star Wars: Episode IV  A New Hope","Star Wars: Episode V The Empire Strikes Back","Star Wars: Episode VI Return of the Jedi","4","5","6","3","2","1","Very favorably","Very favorably","Very favorably","Somewhat favorably","Very favorably","Somewhat unfavorably","Very favorably","Somewhat favorably","Very favorably","Very favorably","Very favorably","Neither favorably nor unfavorably (neutral)","Very favorably","Very favorably","Greedo","Yes","Yes","Yes","Male","30-44","$0 - $24,999","High school degree","West North Central",6
"30",3292249492,"Yes","Yes","Star Wars: Episode I  The Phantom Menace","Star Wars: Episode II  Attack of the Clones","Star Wars: Episode III  Revenge of the Sith","Star Wars: Episode IV  A New Hope","Star Wars: Episode V The Empire Strikes Back","Star Wars: Episode VI Return of the Jedi","5","6","2","3","4","1","Very favorably","Very favorably","Very favorably","Neither favorably nor unfavorably (neutral)","Very favorably","Somewhat favorably","Very favorably","Very favorably","Neither favorably nor unfavorably (neutral)","Very favorably","Very favorably","Very unfavorably","Neither favorably nor unfavorably (neutral)","Very favorably","Han","No",NA,"Yes","Male","30-44","$100,000 - $149,999","Graduate degree","Middle Atlantic",6
